iter	Logloss
0	0.6240043824
1	0.5680261742
2	0.5266423728
3	0.4984625941
4	0.4694562531
5	0.4459323527
6	0.4257374297
7	0.4090326219
8	0.3989975372
9	0.3873461418
10	0.3804690313
11	0.3755679329
12	0.3687935594
13	0.3628480897
14	0.35846367
15	0.3548180194
16	0.3501497235
17	0.3460714726
18	0.3430769745
19	0.340237963
20	0.3375343542
21	0.3332305914
22	0.3305351407
23	0.3286219833
24	0.3263383802
25	0.3236987876
26	0.3224108037
27	0.32032477
28	0.318058897
29	0.3153414735
30	0.3139220084
31	0.3124153218
32	0.3100780124
33	0.307888975
34	0.3058904582
35	0.3044437515
36	0.3033578792
37	0.3019140784
38	0.3009860709
39	0.2992376708
40	0.2975253979
41	0.296169372
42	0.2945245414
43	0.2931268821
44	0.292201643
45	0.2908549296
46	0.2897079849
47	0.2887323825
48	0.2879438519
49	0.2866091454
50	0.2852607205
51	0.2841355128
52	0.2831059831
53	0.2818887496
54	0.2808582861
55	0.2789871926
56	0.2784462832
57	0.2779004756
58	0.2771185324
59	0.2754300461
60	0.2745369317
61	0.2732585434
62	0.2724061728
63	0.271327003
64	0.2704638658
65	0.2696170163
66	0.2690760344
67	0.2681540494
68	0.2676265948
69	0.2666531627
70	0.2661945034
71	0.2652940588
72	0.2645152525
73	0.2637663434
74	0.2630560624
75	0.262402574
76	0.2616667928
77	0.2608968439
78	0.2601793236
79	0.2593600008
80	0.2590793857
81	0.2584053989
82	0.2577976483
83	0.2567606701
84	0.2561344838
85	0.2553357017
86	0.2548263279
87	0.2542235886
88	0.2538466523
89	0.2530643127
90	0.252350708
91	0.2518730329
92	0.2512305335
93	0.2508146477
94	0.2503994042
95	0.2497476733
96	0.249021494
97	0.2482067858
98	0.247847026
99	0.2470748403
100	0.2466061925
101	0.2459288949
102	0.2455054916
103	0.2449407085
104	0.2442219491
105	0.2433571727
106	0.2428358895
107	0.2421818688
108	0.2417391899
109	0.2412512159
110	0.2403551917
111	0.2396939038
112	0.2392205381
113	0.238501825
114	0.2375836203
115	0.2369845972
116	0.2365855964
117	0.2358259883
118	0.2351576658
119	0.2346256576
120	0.2340199516
121	0.2334857624
122	0.2330540202
123	0.2324390646
124	0.2318800364
125	0.2311269825
126	0.2305021492
127	0.2299735502
128	0.2295996338
129	0.2291239997
130	0.2284720467
131	0.2281890918
132	0.2275137197
133	0.2270242813
134	0.2264723207
135	0.2256070348
136	0.2251062511
137	0.2244001598
138	0.2239589173
139	0.2236484457
140	0.2229889593
141	0.2226664681
142	0.2220761498
143	0.2216517563
144	0.2209760863
145	0.22033694
146	0.2200501862
147	0.2196001063
148	0.2189093288
149	0.2185992618
150	0.2181542915
151	0.2176965244
152	0.2172201317
153	0.2168233855
154	0.2162035163
155	0.215744233
156	0.2153131565
157	0.2149883248
158	0.2145027879
159	0.2141529535
160	0.2137067643
161	0.2133519522
162	0.2129839907
163	0.2125240677
164	0.2120555104
165	0.2116222552
166	0.2111833401
167	0.2108356896
168	0.210379472
169	0.210019712
170	0.2096876764
171	0.2092649391
172	0.2085970026
173	0.2080571
174	0.2077118493
175	0.2070635882
176	0.2067268677
177	0.2064398165
178	0.2061584702
179	0.2057650916
180	0.2053116775
181	0.2048283261
182	0.2044484454
183	0.2040535007
184	0.2036713234
185	0.2033343359
186	0.2029665984
187	0.2025024042
188	0.2019468217
189	0.2015208443
190	0.2010788382
191	0.2006763128
192	0.2003906981
193	0.2000023411
194	0.1996282504
195	0.1992225906
196	0.1989812925
197	0.1985541165
198	0.1981987428
199	0.1977948295
200	0.1973764314
201	0.1968178875
202	0.1965535833
203	0.196304631
204	0.1959379114
205	0.1956308422
206	0.1952392683
207	0.1949037313
208	0.1946773548
209	0.1941766019
210	0.1936494717
211	0.193191944
212	0.192851941
213	0.192622452
214	0.1924013537
215	0.1919424251
216	0.1916571451
217	0.1912888471
218	0.1907854725
219	0.190347351
220	0.189936305
221	0.1895864508
222	0.1889781898
223	0.1887034336
224	0.1884358206
225	0.1880810951
226	0.1876716294
227	0.1874347998
228	0.187162106
229	0.1869426257
230	0.1865820203
231	0.1863158581
232	0.1859381609
233	0.1855784193
234	0.1851650736
235	0.1848771863
236	0.1845345345
237	0.1842760501
238	0.1839688145
239	0.1837129784
240	0.1834496072
241	0.183205619
242	0.1829621414
243	0.1825895894
244	0.1820836215
245	0.1818782463
246	0.1816497168
247	0.1813863434
248	0.1810495152
249	0.1808558119
250	0.1805756888
251	0.1803032025
252	0.1801172402
253	0.1799356585
254	0.1795164202
255	0.1791997785
256	0.1789793866
257	0.1786701203
258	0.1782549847
259	0.1780178907
260	0.1776142154
261	0.1772887078
262	0.1769996115
263	0.1767303618
264	0.1763842999
265	0.1760192502
266	0.1756232819
267	0.1753759616
268	0.1748593921
269	0.1745846055
270	0.1742514365
271	0.1739261301
272	0.1735725723
273	0.173346931
274	0.1731485885
275	0.1729003254
276	0.1726022249
277	0.17219516
278	0.1718968475
279	0.1716472197
280	0.1713606971
281	0.1710230895
282	0.1708152937
283	0.1705259935
284	0.1702886284
285	0.1699590322
286	0.1696793339
287	0.16946171
288	0.1692177297
289	0.1689835593
290	0.168746705
291	0.1684713683
292	0.1682463152
293	0.1680882398
294	0.1678833728
295	0.1676195264
296	0.1673173082
297	0.1671029874
298	0.1667831171
299	0.1665120482
